(1, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Fri, 04 Apr 43332 04:00:00 +0000')
(250, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(251, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(252, 'Wed, 05 Sep 43308 08:40:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(253, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(254, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(255, 'Wed, 05 Sep 43308 08:40:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(256, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(257, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(258, 'Wed, 05 Sep 43308 08:40:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(259, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(260, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(261, 'Wed, 05 Sep 43308 08:40:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(262, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(263, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(264, 'Wed, 18 Jul 43308 18:00:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(265, 'Wed, 18 Jul 43308 18:00:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(266, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(267, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(268, 'Sun, 12 Aug 43308 01:20:00 +0000', 'Tue, 19 Aug 43349 00:00:00 +0000')
(269, 'Sun, 12 Aug 43308 01:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(270, 'Sun, 12 Aug 43308 01:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(271, 'Sat, 27 Oct 43308 10:40:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(272, 'Sun, 12 Aug 43308 01:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(273, 'Sun, 12 Aug 43308 01:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(274, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Mon, 24 Nov 43349 22:00:00 +0000')
(275, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Tue, 19 Aug 43349 00:00:00 +0000')
(276, 'Sat, 20 Oct 43308 12:00:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(277, 'Sat, 29 Sep 43308 16:00:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(278, 'Sat, 08 Sep 43308 20:00:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(279, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(280, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(281, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(282, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(283, 'Wed, 18 Jul 43308 18:00:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(284, 'Sat, 29 Sep 43308 16:00:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(285, 'Sat, 08 Sep 43308 20:00:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(286, 'Sun, 19 Aug 43308 00:00:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(287, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(288, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(289, 'Sun, 12 Aug 43308 01:20:00 +0000', 'Mon, 24 Nov 43349 22:00:00 +0000')
(290, 'Sun, 12 Aug 43308 01:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(291, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Tue, 19 Aug 43349 00:00:00 +0000')
(292, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Tue, 19 Aug 43349 00:00:00 +0000')
(293, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Tue, 19 Aug 43349 00:00:00 +0000')
(294, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Sat, 25 Jul 43350 23:20:00 +0000')
(295, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(296, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(297, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Tue, 19 Aug 43349 00:00:00 +0000')
(298, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(299, 'Sun, 02 Dec 43308 13:20:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(300, 'Sun, 02 Dec 43308 13:20:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(301, 'Sun, 02 Dec 43308 13:20:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(302, 'Sun, 02 Dec 43308 13:20:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(303, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(304, 'Sun, 12 Aug 43308 01:20:00 +0000', 'Sat, 21 Feb 43350 19:20:00 +0000')
(305, 'Sun, 12 Aug 43308 01:20:00 +0000', 'Sat, 21 Feb 43350 19:20:00 +0000')
(306, 'Sun, 12 Aug 43308 01:20:00 +0000', 'Thu, 12 Mar 43350 13:20:00 +0000')
(307, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Mon, 24 Nov 43349 22:00:00 +0000')
(308, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(309, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(310, 'Sat, 14 Oct 43284 16:00:00 +0000', 'Wed, 12 May 43306 03:20:00 +0000')
(311, 'Wed, 13 Sep 43284 10:00:00 +0000', 'Wed, 21 Jan 43305 10:40:00 +0000')
(312, 'Wed, 13 Sep 43284 10:00:00 +0000', 'Sat, 01 Nov 43304 04:40:00 +0000')
(313, 'Thu, 09 Mar 43284 22:00:00 +0000', 'Tue, 30 Sep 43304 22:40:00 +0000')
(314, 'Thu, 09 Mar 43284 22:00:00 +0000', 'Sun, 11 Jan 43305 17:20:00 +0000')
(315, 'Thu, 09 Mar 43284 22:00:00 +0000', 'Sun, 21 Dec 43304 04:40:00 +0000')
(316, 'Thu, 09 Mar 43284 22:00:00 +0000', 'Sun, 21 Dec 43304 04:40:00 +0000')
(317, 'Thu, 09 Mar 43284 22:00:00 +0000', 'Sun, 11 Jan 43305 17:20:00 +0000')
(318, 'Mon, 30 Apr 43285 14:00:00 +0000', 'Fri, 04 Apr 43304 18:40:00 +0000')
(319, 'Wed, 13 Sep 43284 10:00:00 +0000', 'Sat, 12 Jun 43306 09:20:00 +0000')
(320, 'Wed, 13 Sep 43284 10:00:00 +0000', 'Sat, 12 Jun 43306 09:20:00 +0000')
(321, 'Tue, 23 Nov 43283 06:40:00 +0000', 'Sat, 01 Nov 43304 04:40:00 +0000')
(322, 'Mon, 30 Apr 43285 14:00:00 +0000', 'Mon, 19 May 43304 22:00:00 +0000')
(323, 'Fri, 21 Jan 43284 07:20:00 +0000', 'Sun, 14 Dec 43304 22:40:00 +0000')
(324, 'Wed, 13 Sep 43284 10:00:00 +0000', 'Thu, 18 Sep 43304 10:40:00 +0000')
(325, 'Wed, 25 Oct 43284 02:00:00 +0000', 'Wed, 12 Sep 43303 22:00:00 +0000')
(326, 'Wed, 13 Sep 43284 10:00:00 +0000', 'Sun, 08 Feb 43305 12:00:00 +0000')
(327, 'Wed, 13 Sep 43284 10:00:00 +0000', 'Sat, 01 Nov 43304 04:40:00 +0000')
(328, 'Wed, 13 Sep 43284 10:00:00 +0000', 'Wed, 12 Sep 43303 22:00:00 +0000')
(329, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(330, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(331, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(332, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(333, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(334, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(335, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(336, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(337, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(338, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(339, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(340, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(341, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(342, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(343, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(344, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(345, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(346, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(347, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(348, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(349, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(350, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(351, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(352, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(353, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(354, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(355, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(356, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(357, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(358, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(359, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(360, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(361, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(362, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(363, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(364, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(365, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(366, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(367, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(368, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(369, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(370, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(371, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(372, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(373, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(374, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(375, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(376, 'Fri, 21 Apr 43273 05:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(377, 'Tue, 13 Dec 43272 18:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(378, 'Tue, 13 Dec 43272 18:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(379, 'Sat, 03 Dec 43272 08:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(380, 'Sat, 03 Dec 43272 08:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(381, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(382, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(383, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(384, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(385, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(386, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(387, 'Fri, 24 Feb 43273 16:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(388, 'Fri, 03 Feb 43273 20:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(389, 'Sat, 14 Jan 43273 00:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(390, 'Sat, 03 Dec 43272 08:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(391, 'Sat, 03 Dec 43272 08:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(392, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(393, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(394, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(395, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(396, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(397, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(398, 'Fri, 24 Feb 43273 16:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(399, 'Fri, 03 Feb 43273 20:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(400, 'Sat, 14 Jan 43273 00:00:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(401, 'Tue, 13 Dec 43272 18:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(402, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(403, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(404, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(405, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(406, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(407, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(408, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(409, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(410, 'Sat, 03 Dec 43272 08:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(411, 'Sat, 03 Dec 43272 08:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(412, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(413, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(414, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(415, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(416, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(417, 'Tue, 07 Mar 43273 02:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(418, 'Fri, 24 Feb 43273 16:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(419, 'Fri, 03 Feb 43273 20:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(420, 'Sat, 14 Jan 43273 00:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(421, 'Fri, 24 Mar 43273 10:40:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(422, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(423, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(424, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(425, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Thu, 09 Dec 43283 22:40:00 +0000')
(426, 'Fri, 17 Mar 43273 12:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(427, 'Fri, 24 Feb 43273 16:00:00 +0000', 'Tue, 22 Dec 43282 04:00:00 +0000')
(428, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(429, 'Mon, 12 Jun 43273 07:20:00 +0000', 'Sun, 21 Feb 43283 23:20:00 +0000')
(430, 'Wed, 05 Aug 43248 22:00:00 +0000', 'Fri, 15 Mar 43258 22:40:00 +0000')
(431, 'Wed, 05 Aug 43248 22:00:00 +0000', 'Wed, 26 Jun 43258 17:20:00 +0000')
(432, 'Wed, 05 Aug 43248 22:00:00 +0000', 'Wed, 05 Jun 43258 04:40:00 +0000')
(433, 'Wed, 05 Aug 43248 22:00:00 +0000', 'Wed, 05 Jun 43258 04:40:00 +0000')
(434, 'Wed, 05 Aug 43248 22:00:00 +0000', 'Wed, 26 Jun 43258 17:20:00 +0000')
(435, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Tue, 25 Nov 43259 09:20:00 +0000')
(436, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Tue, 25 Nov 43259 09:20:00 +0000')
(437, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Tue, 25 Nov 43259 09:20:00 +0000')
(438, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Tue, 25 Nov 43259 09:20:00 +0000')
(439, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Tue, 25 Nov 43259 09:20:00 +0000')
(440, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Tue, 25 Nov 43259 09:20:00 +0000')
(441, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Tue, 25 Nov 43259 09:20:00 +0000')
(442, 'Thu, 18 Jun 43248 07:20:00 +0000', 'Wed, 20 Mar 43258 02:40:00 +0000')
(443, 'Fri, 12 Mar 43249 16:00:00 +0000', 'Wed, 20 Mar 43258 02:40:00 +0000')
(444, 'Fri, 12 Mar 43249 16:00:00 +0000', 'Wed, 05 Jun 43258 04:40:00 +0000')
(445, 'Sun, 03 Oct 43249 12:40:00 +0000', 'Mon, 17 Sep 43257 18:40:00 +0000')
(446, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Thu, 18 Jul 43258 22:40:00 +0000')
(447, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Thu, 18 Jul 43258 22:40:00 +0000')
(448, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Thu, 18 Jul 43258 22:40:00 +0000')
(449, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Tue, 25 Nov 43259 09:20:00 +0000')
(450, 'Fri, 05 Mar 43249 17:20:00 +0000', 'Tue, 25 Nov 43259 09:20:00 +0000')
(451, 'Fri, 21 Nov 43253 22:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(452, 'Sat, 11 Oct 43253 06:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(453, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(454, 'Sat, 11 Oct 43253 06:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(455, 'Fri, 21 Nov 43253 22:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(456, 'Wed, 26 Aug 43254 17:20:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(457, 'Wed, 26 Aug 43254 17:20:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(458, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(459, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(460, 'Fri, 21 Nov 43253 22:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(461, 'Sat, 11 Oct 43253 06:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(462, 'Fri, 21 Nov 43253 22:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(463, 'Fri, 21 Nov 43253 22:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(464, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(465, 'Sat, 11 Oct 43253 06:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(466, 'Fri, 21 Nov 43253 22:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(467, 'Sat, 11 Oct 43253 06:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(468, 'Sat, 11 Oct 43253 06:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(469, 'Sat, 11 Oct 43253 06:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(470, 'Fri, 21 Nov 43253 22:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(471, 'Wed, 26 Aug 43254 17:20:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(472, 'Wed, 26 Aug 43254 17:20:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(473, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(474, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(475, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(476, 'Sat, 11 Oct 43253 06:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(477, 'Sat, 11 Oct 43253 06:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(478, 'Sat, 11 Oct 43253 06:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(479, 'Fri, 21 Nov 43253 22:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(480, 'Fri, 21 Nov 43253 22:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(481, 'Wed, 26 Aug 43254 17:20:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(482, 'Wed, 26 Aug 43254 17:20:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(483, 'Wed, 26 Aug 43254 17:20:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(484, 'Wed, 26 Aug 43254 17:20:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(485, 'Fri, 21 Nov 43253 22:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(486, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(487, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(488, 'Wed, 26 Aug 43254 17:20:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(489, 'Wed, 26 Aug 43254 17:20:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(490, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(491, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(492, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(493, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(494, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(495, 'Mon, 02 Feb 43254 20:40:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
(496, 'Mon, 26 Jan 43254 22:00:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(497, 'Mon, 26 Jan 43254 22:00:00 +0000', 'Fri, 08 Jun 43274 10:00:00 +0000')
(498, 'Mon, 26 Jan 43254 22:00:00 +0000', 'Sat, 25 Apr 43276 22:00:00 +0000')
